attribute,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
1 lane,593.0,354.0,256.0,607.0,237.0,201.0,507.0,187.0,533.0,330.0,277.0,247.0,350.0,257.0,279.0,296.0,529.0,465.0,361.0,497.0,294.0,303.0,279.0,216.0,317.0
2 lane,190.0,160.0,142.0,279.0,175.0,102.0,257.0,160.0,310.0,134.0,206.0,127.0,282.0,143.0,169.0,200.0,178.0,271.0,184.0,392.0,180.0,116.0,159.0,118.0,229.0
3 lane,275.0,71.0,70.0,170.0,70.0,115.0,214.0,45.0,228.0,84.0,188.0,63.0,152.0,79.0,154.0,141.0,127.0,195.0,159.0,251.0,115.0,135.0,101.0,163.0,131.0
4 lane,221.0,35.0,11.0,108.0,63.0,32.0,53.0,11.0,54.0,33.0,23.0,59.0,130.0,44.0,134.0,40.0,58.0,138.0,98.0,131.0,84.0,11.0,89.0,86.0,28.0
5 lane,94.0,45.0,1.0,28.0,13.0,26.0,11.0,27.0,5.0,5.0,17.0,11.0,54.0,11.0,71.0,16.0,11.0,70.0,45.0,25.0,15.0,0.0,21.0,36.0,5.0
6 lane,28.0,5.0,0.0,10.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,2.0,13.0,1.0,2.0,24.0,1.0,6.0,5.0,0.0,7.0,9.0,0.0
7 lane,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0
8 lane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101 rank,3.0,23.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
102 rank,80.0,34.0,0.0,67.0,13.0,88.0,29.0,33.0,65.0,0.0,21.0,63.0,109.0,16.0,68.0,68.0,35.0,74.0,5.0,196.0,68.0,0.0,8.0,0.0,47.0
103 rank,64.0,50.0,0.0,122.0,0.0,82.0,80.0,32.0,86.0,20.0,65.0,0.0,148.0,77.0,27.0,21.0,0.0,72.0,16.0,69.0,0.0,63.0,132.0,5.0,129.0
104 rank,266.0,66.0,79.0,27.0,41.0,48.0,99.0,30.0,30.0,51.0,69.0,89.0,0.0,62.0,171.0,160.0,163.0,132.0,92.0,51.0,125.0,50.0,100.0,195.0,40.0
105 rank,50.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
106 rank,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107 rank,952.0,505.0,401.0,976.0,507.0,260.0,811.0,360.0,950.0,516.0,556.0,356.0,725.0,382.0,503.0,445.0,708.0,872.0,712.0,988.0,502.0,444.0,420.0,432.0,495.0
108 rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single-link,1415.0,634.0,480.0,1175.0,561.0,428.0,986.0,456.0,1132.0,587.0,655.0,508.0,937.0,487.0,831.0,694.0,906.0,1105.0,836.0,1255.0,695.0,573.0,563.0,626.0,624.0
multi-link,0.0,44.0,0.0,33.0,0.0,50.0,72.0,0.0,0.0,0.0,56.0,0.0,51.0,50.0,0.0,0.0,0.0,64.0,12.0,49.0,0.0,1.0,97.0,6.0,87.0
0 connect,1324.0,644.0,475.0,1146.0,545.0,407.0,1003.0,434.0,1102.0,581.0,661.0,462.0,898.0,510.0,753.0,616.0,856.0,1077.0,819.0,1162.0,612.0,565.0,620.0,572.0,665.0
101 connect,1.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
